chrom1	start1	end1	chrom2	start2	end2	tor1	tor2	score	enr
chr1	36803450	36803500	chr1	37735400	37735450	EE	EE	65.3000030517578	-2.5405683813627
chr1	36803500	36803550	chr1	37735400	37735450	EE	EE	65.3000030517578	-2.5405683813627
chr1	59304650	59304700	chr1	59670800	59670850	EE	EE	88.9000015258789	-2.59678793611795
chr1	59304650	59304700	chr1	59670850	59670900	EE	EE	88.9000015258789	-2.57752207659222
chr1	59304700	59304750	chr1	59670800	59670850	EE	EE	88.9000015258789	-2.59678793611795
chr1	59304700	59304750	chr1	59670850	59670900	EE	EE	88.9000015258789	-2.57752207659222
chr1	88546950	88547000	chr1	88938800	88938850	EE	EE	84.9000015258789	-2.95545356104674
chr1	88547000	88547050	chr1	88938800	88938850	EE	EE	84.9000015258789	-2.95545356104674
chr1	88547050	88547100	chr1	88938800	88938850	EE	EE	84.9000015258789	-2.97303295239973
chr1	90321350	90321400	chr1	90602500	90602550	LE	EE	89.9000015258789	-2.87485481369197
chr1	90321350	90321400	chr1	90602550	90602600	LE	EE	89.9000015258789	-2.88336631354749
chr1	90321350	90321400	chr1	90602600	90602650	LE	EE	89.9000015258789	-2.88336631354749
chr1	90321350	90321400	chr1	90641950	90642000	LE	EE	87.4000015258789	-2.90270279864509
chr1	90321350	90321400	chr1	91092800	91092850	LE	EE	64.8000030517578	-2.8268510976834
chr1	90703700	90703750	chr1	91092800	91092850	EE	EE	72.8000030517578	-2.68858513179531
chr1	90703750	90703800	chr1	91092800	91092850	EE	EE	72.8000030517578	-2.68858513179531
chr1	91241250	91241300	chr1	91503300	91503350	EE	EE	80.3000030517578	-2.97851057702578
chr1	91241250	91241300	chr1	91503350	91503400	EE	EE	80.3000030517578	-2.97259384265935
chr1	91241250	91241300	chr1	91543350	91543400	EE	EE	68.3000030517578	-2.85147747528991
chr1	91241250	91241300	chr1	91543400	91543450	EE	EE	68.3000030517578	-2.85147747528991
chr1	91241300	91241350	chr1	91503300	91503350	EE	EE	80.3000030517578	-2.97851057702578
chr1	91241300	91241350	chr1	91503350	91503400	EE	EE	80.3000030517578	-2.97259384265935
chr1	91241300	91241350	chr1	91543350	91543400	EE	EE	68.3000030517578	-2.85147747528991
chr1	91241300	91241350	chr1	91543400	91543450	EE	EE	68.3000030517578	-2.85147747528991
chr1	91543350	91543400	chr1	91839950	91840000	EE	EE	84.9000015258789	-2.07662128160291
chr1	91543400	91543450	chr1	91839950	91840000	EE	EE	84.9000015258789	-2.05062607306997
chr1	135074150	135074200	chr1	135278750	135278800	EE	EE	71.3000030517578	-2.67084033588156
chr1	135074150	135074200	chr1	135278800	135278850	EE	EE	71.3000030517578	-2.67807190511264
chr1	135074150	135074200	chr1	135282250	135282300	EE	EE	69.8000030517578	-2.84599177066457
chr1	135074200	135074250	chr1	135278750	135278800	EE	EE	71.3000030517578	-2.67084033588156
chr1	135074200	135074250	chr1	135278800	135278850	EE	EE	71.3000030517578	-2.67807190511264
chr1	135074200	135074250	chr1	135282250	135282300	EE	EE	69.8000030517578	-2.84599177066457
chr1	135074250	135074300	chr1	135278750	135278800	EE	EE	71.3000030517578	-2.67084033588156
chr1	135074250	135074300	chr1	135278800	135278850	EE	EE	71.3000030517578	-2.67807190511264
chr1	135074250	135074300	chr1	135282250	135282300	EE	EE	69.8000030517578	-2.84599177066457
chr1	135250200	135250250	chr1	135507000	135507050	EE	EE	68.8000030517578	-2.95286602440891
