BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chr1	43290000	43300000	chr1	43700000	43710000	0.11660468597572654	5.198415336679908
chr1	82790000	82800000	chr1	82990000	83000000	0.003856135046414133	2.111212657236631
chr1	86200000	86210000	chr1	86320000	86330000	0.00181392521405499	2.111212657236631
chr1	86640000	86650000	chr1	87050000	87060000	0.01945875865514951	3.6758347359905126
chr1	86670000	86680000	chr1	87050000	87060000	0.12188825873550312	2.111212657236631
chr2	101700000	101710000	chr2	101820000	101830000	0.003765971009168645	2.599207668339954
chr2	165070000	165080000	chr2	165350000	165360000	0.017946514758983956	2.111212657236631
chr2	173190000	173200000	chr2	173440000	173450000	0.0015897521604590348	2.599207668339954
chr3	100970000	100980000	chr3	101290000	101300000	0.007935825747528085	2.111212657236631
chr3	129290000	129300000	chr3	129700000	129710000	0.022145377325619806	2.599207668339954
chr3	138630000	138640000	chr3	138910000	138920000	0.018041307114281122	2.111212657236631
chr3	157910000	157920000	chr3	158010000	158020000	0.0020520235859888825	2.111212657236631
chr4	54930000	54940000	chr4	55070000	55080000	0.09489746557428903	2.111212657236631
chr4	98740000	98750000	chr4	98890000	98900000	0.023631681953086552	2.111212657236631
chr4	114660000	114670000	chr4	114910000	114920000	0.00764935984108676	2.111212657236631
chr4	128940000	128950000	chr4	129100000	129110000	0.02956827327970757	3.6758347359905126
chr4	148700000	148710000	chr4	149070000	149080000	0.004020775989802835	2.111212657236631
chr5	33390000	33400000	chr5	33590000	33600000	0.0040210110305416435	2.599207668339954
chr5	77080000	77090000	chr5	77190000	77200000	0.02227428754821764	2.111212657236631
chr5	97120000	97130000	chr5	97390000	97400000	0.057617558931796514	2.599207668339954
chr5	108410000	108420000	chr5	108540000	108550000	0.142320042771898	2.111212657236631
chr5	110310000	110320000	chr5	110680000	110690000	0.005051619520697492	2.599207668339954
chr5	124910000	124920000	chr5	125240000	125250000	0.009746586350881603	3.6758347359905126
chr6	66960000	66970000	chr6	67140000	67150000	0.016467658633877003	2.111212657236631
chr6	96850000	96860000	chr6	97010000	97020000	0.09652045083657451	3.2
chr6	118620000	118630000	chr6	119090000	119100000	0.04779253693083314	2.599207668339954
chr7	66410000	66420000	chr7	66640000	66650000	0.0071881912656768234	3.6758347359905126
chr7	102270000	102280000	chr7	102400000	102410000	0.12457655366078679	2.599207668339954
chr8	26280000	26290000	chr8	26990000	27000000	0.05908427457608374	3.6758347359905126
chr8	95030000	95040000	chr8	95210000	95220000	0.0194152794414272	2.599207668339954
chr8	124050000	124060000	chr8	124350000	124360000	0.00015208255276788485	2.111212657236631
chr9	35280000	35290000	chr9	35530000	35540000	0.000656521507579555	2.111212657236631
chr9	36910000	36920000	chr9	37230000	37240000	0.014188406587607894	3.2
chr9	46910000	46920000	chr9	47040000	47050000	0.12587626738643518	2.111212657236631
chr9	58900000	58910000	chr9	59260000	59270000	0.019048922700914808	2.599207668339954
chr9	64340000	64350000	chr9	64700000	64710000	0.17437479959356117	2.111212657236631
chr9	64360000	64370000	chr9	64630000	64640000	0.02621928295984346	3.6758347359905126
chr10	108300000	108310000	chr10	108430000	108440000	0.0013754410588916743	2.111212657236631
chr11	11540000	11550000	chr11	11750000	11760000	0.020018421534753243	3.6758347359905126
chr11	62920000	62930000	chr11	63150000	63160000	0.003150112766311275	3.2
chr11	94350000	94360000	chr11	94490000	94500000	0.11144532046924502	2.111212657236631
chr12	5150000	5160000	chr12	5360000	5370000	0.059120282101045106	3.6758347359905126
chr12	31510000	31520000	chr12	31920000	31930000	0.02333088269420841	2.111212657236631
chr12	54080000	54090000	chr12	54500000	54510000	0.11437700290127731	3.2
chr12	72510000	72520000	chr12	72670000	72680000	0.19137370335371723	1.8379173679952563
chr12	80170000	80180000	chr12	80380000	80390000	0.002554774880905386	2.599207668339954
chr13	43190000	43200000	chr13	43320000	43330000	0.018968886512296945	2.111212657236631
chr13	52690000	52700000	chr13	52980000	52990000	0.013876250170183992	3.6758347359905126
chr14	31660000	31670000	chr14	32050000	32060000	0.015676497987863542	3.2
chr14	50810000	50820000	chr14	51070000	51080000	0.043321880682800566	3.2
chr14	67780000	67790000	chr14	67940000	67950000	0.00018121793574532585	2.111212657236631
chr15	81450000	81460000	chr15	81670000	81680000	0.0403784430147332	2.599207668339954
chr16	35130000	35140000	chr16	35520000	35530000	0.07771876570027234	3.2
chr16	38340000	38350000	chr16	38480000	38490000	0.00022949830020246864	2.111212657236631
chr16	87590000	87600000	chr16	87740000	87750000	0.002440050223591117	2.111212657236631
chr16	89800000	89810000	chr16	90180000	90190000	0.009825115749109159	2.599207668339954
chr16	95610000	95620000	chr16	95950000	95960000	0.000324034987618127	2.111212657236631
chr17	79110000	79120000	chr17	79570000	79580000	0.010643617305888253	3.2
chr18	75780000	75790000	chr18	76140000	76150000	0.008849919467399436	3.2
chr19	10320000	10330000	chr19	10490000	10500000	0.07026074285473984	2.111212657236631
chr19	46110000	46120000	chr19	46270000	46280000	0.01929074639701156	2.111212657236631
