BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chr1	78540000	78550000	chr1	78660000	78670000	0.01662765489826956	3.6758347359905126
chr1	182010000	182020000	chr1	182100000	182110000	0.04502829646014366	2.111212657236631
chr2	20520000	20530000	chr2	20660000	20670000	0.10478325372471035	3.2
chr2	26440000	26450000	chr2	26560000	26570000	0.08725092154788383	2.111212657236631
chr2	83670000	83680000	chr2	83780000	83790000	0.017755033173412663	2.599207668339954
chr2	144000000	144010000	chr2	144200000	144210000	0.007125508634460986	2.111212657236631
chr3	51500000	51510000	chr3	51670000	51680000	0.08411147073904801	3.2
chr3	157900000	157910000	chr3	158000000	158010000	0.025414269044054878	2.599207668339954
chr4	54940000	54950000	chr4	55040000	55050000	0.13933495006440377	2.599207668339954
chr4	57020000	57030000	chr4	57200000	57210000	0.09579920775445294	3.6758347359905126
chr4	98740000	98750000	chr4	98890000	98900000	0.005217881444319339	2.111212657236631
chr4	128950000	128960000	chr4	129090000	129100000	0.019718758034248732	2.599207668339954
chr4	148690000	148700000	chr4	149070000	149080000	0.00722778786287546	3.2
chr5	25420000	25430000	chr5	25600000	25610000	0.1148685942842006	2.599207668339954
chr5	100090000	100100000	chr5	100310000	100320000	0.03579905557784813	2.599207668339954
chr5	138850000	138860000	chr5	139090000	139100000	0.010871647531999429	2.111212657236631
chr6	66960000	66970000	chr6	67140000	67150000	0.09545906526803295	2.111212657236631
chr6	72620000	72630000	chr6	72810000	72820000	0.09545906526803295	4.222425314473262
chr7	143140000	143150000	chr7	143460000	143470000	0.00232435621336724	2.599207668339954
chr8	90820000	90830000	chr8	90920000	90930000	0.013580118667589458	2.111212657236631
chr8	117220000	117230000	chr8	117460000	117470000	0.015604664296476334	2.599207668339954
chr9	35030000	35040000	chr9	35150000	35160000	0.0090697705159364	2.599207668339954
chr9	58040000	58050000	chr9	58190000	58200000	0.03555965994385565	2.599207668339954
chr9	64340000	64350000	chr9	64620000	64630000	0.08102178185095502	3.2
chr9	70200000	70210000	chr9	70300000	70310000	0.10516627495820097	2.111212657236631
chr9	86650000	86660000	chr9	86760000	86770000	0.02200439394659348	3.2
chr10	14440000	14450000	chr10	14680000	14690000	0.009707256422736621	3.2
chr10	108320000	108330000	chr10	108430000	108440000	0.006245061380318979	3.2
chr12	12790000	12800000	chr12	12920000	12930000	0.004112213877061954	2.599207668339954
chr12	78910000	78920000	chr12	79090000	79100000	0.01171731557218425	2.111212657236631
chr12	86780000	86790000	chr12	86930000	86940000	0.021567823089429203	3.6758347359905126
chr12	110430000	110440000	chr12	110630000	110640000	0.033562906726603906	2.599207668339954
chr14	40900000	40910000	chr14	41020000	41030000	0.16544154106893028	1.8379173679952563
chr14	50860000	50870000	chr14	51010000	51020000	0.11605758108006403	2.599207668339954
chr14	64620000	64630000	chr14	64750000	64760000	0.05956570212637119	2.111212657236631
chr15	25820000	25830000	chr15	25930000	25940000	0.13881544163405454	1.8379173679952563
chr15	84260000	84270000	chr15	84620000	84630000	0.03241394278367829	2.111212657236631
chr16	13660000	13670000	chr16	13800000	13810000	0.06675755668550887	2.111212657236631
chr17	36940000	36950000	chr17	37050000	37060000	0.03694752975369042	3.6758347359905126
chr18	46340000	46350000	chr18	46560000	46570000	0.006783707310018391	2.111212657236631
chr18	56620000	56630000	chr18	56720000	56730000	0.006805112825739304	3.6758347359905126
chr19	32160000	32170000	chr19	32320000	32330000	0.060857511011095156	2.599207668339954
chr19	46120000	46130000	chr19	46270000	46280000	0.018471133086299968	3.6758347359905126
